iter	Passed	Remaining
411	4240	905
412	4250	895
413	4261	885
414	4271	874
415	4281	864
416	4292	854
417	4302	843
418	4312	833
419	4322	823
420	4332	812
421	4342	802
422	4352	792
423	4362	781
424	4372	771
425	4383	761
426	4393	751
427	4403	740
428	4413	730
429	4423	720
430	4433	709
431	4443	699
432	4453	689
433	4463	678
434	4473	668
435	4483	658
436	4494	647
437	4504	637
438	4514	627
439	4524	617
440	4534	606
441	4544	596
442	4555	586
443	4565	575
444	4575	565
445	4585	555
446	4595	544
447	4605	534
448	4615	524
449	4626	514
450	4636	503
451	4647	493
452	4657	483
453	4667	472
454	4677	462
455	4687	452
456	4698	442
457	4708	431
458	4718	421
459	4728	411
460	4738	400
461	4748	390
462	4758	380
463	4768	369
464	4778	359
465	4788	349
466	4798	339
467	4809	328
468	4819	318
469	4829	308
470	4839	297
471	4848	287
472	4859	277
473	4869	267
474	4879	256
475	4889	246
476	4899	236
477	4909	225
478	4919	215
479	4929	205
480	4940	195
481	4950	184
482	4960	174
483	4970	164
484	4980	154
485	4991	143
486	5001	133
487	5011	123
488	5021	112
489	5031	102
490	5041	92
491	5051	82
492	5061	71
493	5071	61
494	5082	51
495	5092	41
496	5102	30
497	5112	20
498	5122	10
499	5132	0
